Date,Open,High,Low,Settle,Volume,1,2,3,4,5
02-02-2012,1.40683,1.42811,1.39712,1.40081,90671,0,0,0,0,0
03-02-2012,1.4008,1.4148,1.40038,1.4079,73326,0,0,0,0,0
05-02-2012,1.40792,1.40877,1.38712,1.38887,76967,0,0,0,0,0
06-02-2012,1.38885,1.39351,1.3626,1.3653,9398,0,0,0,0,0
07-02-2012,1.35857,1.3621,1.35536,1.35817,130837,0,0,0,0,0
08-02-2012,1.35815,1.36929,1.34986,1.3637,124843,0,0,0,0,0
09-02-2012,1.36368,1.37377,1.35566,1.36799,113911,0,0,0,0,0
10-02-2012,1.368,1.37819,1.359,1.37466,91574,0,0,0,0,0
12-02-2012,1.37469,1.39353,1.37021,1.3879,90601,0,0,0,0,0
13-02-2012,1.38793,1.38801,1.37526,1.37958,9120,0,0,0,0,0
14-02-2012,1.36926,1.37136,1.36621,1.36802,105063,0,0,0,0,0
15-02-2012,1.36803,1.37192,1.35854,1.36212,108659,0,0,0,0,0
16-02-2012,1.36214,1.37431,1.3592,1.37047,106397,0,0,0,0,0
17-02-2012,1.37046,1.37967,1.35562,1.35762,128366,0,0,0,0,0
19-02-2012,1.35763,1.35884,1.33834,1.35033,113101,0,0,0,0,0
20-02-2012,1.35035,1.35657,1.34177,1.34965,9284,0,0,0,0,0
21-02-2012,1.3521,1.35491,1.34874,1.35151,138538,0,0,0,0,0
22-02-2012,1.3515,1.35462,1.33613,1.3494,123312,0,0,0,0,0
23-02-2012,1.34941,1.36665,1.34782,1.35838,100207,0,0,0,0,0
24-02-2012,1.35833,1.36887,1.35184,1.35213,89686,0,0,0,0,0
26-02-2012,1.35214,1.36778,1.3519,1.35941,100640,0,0,0,0,0
27-02-2012,1.35942,1.35996,1.33826,1.33869,7070,0,0,0,0,0
28-02-2012,1.33435,1.33677,1.33302,1.33561,125143,0,0,0,0,0
29-02-2012,1.33558,1.33798,1.31629,1.31889,100405,0,0,0,0,0
01-03-2012,1.31891,1.33677,1.31449,1.33157,125969,0,0,0,0,0
02-03-2012,1.33158,1.33824,1.3259,1.33437,121323,0,0,0,0,0
04-03-2012,1.33436,1.34492,1.32405,1.34255,103227,0,0,0,0,0
05-03-2012,1.34254,1.35232,1.33598,1.33771,5172,0,0,0,0,0
06-03-2012,1.33902,1.34079,1.33765,1.33978,102451,0,0,0,0,0
07-03-2012,1.33979,1.3697,1.33924,1.36251,89511,0,0,0,0,0
08-03-2012,1.3625,1.36823,1.35642,1.36319,84060,0,0,0,0,0
09-03-2012,1.36321,1.38318,1.35815,1.37764,101922,0,0,0,0,0
11-03-2012,1.37765,1.38248,1.36841,1.37508,87847,0,0,0,0,0
12-03-2012,1.37511,1.38925,1.37222,1.38791,5823,0,0,0,0,0
13-03-2012,1.38661,1.38864,1.38616,1.38716,102062,0,0,0,0,0
14-03-2012,1.38717,1.39128,1.37234,1.37437,77635,0,0,0,0,0
15-03-2012,1.37439,1.3816,1.36516,1.37308,104199,0,0,0,0,0
16-03-2012,1.37309,1.38677,1.37239,1.37657,106668,0,0,0,0,0
18-03-2012,1.37654,1.38415,1.36551,1.37927,69657,0,0,0,0,0
19-03-2012,1.37918,1.38999,1.37027,1.38941,6190,0,0,0,0,0
20-03-2012,1.38694,1.38728,1.38279,1.38487,106445,0,0,0,0,0
21-03-2012,1.38486,1.39549,1.38209,1.39188,96900,0,0,0,0,0
22-03-2012,1.39191,1.39587,1.38479,1.38985,103383,0,0,0,0,0
23-03-2012,1.38983,1.39734,1.37976,1.3884,105815,0,0,0,0,0
25-03-2012,1.38841,1.42455,1.38839,1.41971,93556,0,0,0,0,0
26-03-2012,1.4197,1.41973,1.41325,1.41464,3460,0,0,0,0,0
27-03-2012,1.41508,1.41613,1.41359,1.41369,122631,0,0,0,0,0
28-03-2012,1.41367,1.41695,1.38273,1.38576,117945,0,0,0,0,0
29-03-2012,1.38575,1.38695,1.36071,1.36532,114803,0,0,0,0,0
30-03-2012,1.3653,1.38268,1.36517,1.36871,76449,0,0,0,0,0
01-04-2012,1.36872,1.38532,1.36552,1.38213,70701,0,0,0,0,0
02-04-2012,1.38212,1.38679,1.37099,1.37895,5512,0,0,0,0,0
03-04-2012,1.38259,1.38298,1.37761,1.37869,95387,0,0,0,0,0
04-04-2012,1.37871,1.38117,1.368,1.37577,75469,0,0,0,0,0
05-04-2012,1.37576,1.38456,1.37232,1.38233,106878,0,0,0,0,0
06-04-2012,1.38232,1.38577,1.35221,1.35434,99346,0,0,0,0,0
08-04-2012,1.35433,1.36514,1.34828,1.36078,92146,0,0,0,0,0
09-04-2012,1.36077,1.37936,1.35771,1.37488,4690,0,0,0,0,0
10-04-2012,1.38086,1.38093,1.37732,1.37834,111638,0,0,0,0,0
11-04-2012,1.37833,1.37877,1.35905,1.36229,78836,0,0,0,0,0
12-04-2012,1.3623,1.36394,1.3495,1.35028,79445,0,0,0,0,0
13-04-2012,1.35029,1.35553,1.34204,1.34385,108821,0,0,0,0,0
15-04-2012,1.34383,1.35385,1.34218,1.34527,87362,0,0,0,0,0
16-04-2012,1.34526,1.36128,1.34458,1.35233,4197,0,0,0,0,0
17-04-2012,1.35112,1.35348,1.35043,1.35345,98047,0,0,0,0,0
18-04-2012,1.35346,1.35389,1.34289,1.34819,89648,0,0,0,0,0
19-04-2012,1.34823,1.3567,1.34676,1.35169,100699,0,0,0,0,0
20-04-2012,1.35168,1.35298,1.33189,1.33424,56466,0,0,0,0,0
22-04-2012,1.33425,1.34101,1.3315,1.33284,71361,0,0,0,0,0
23-04-2012,1.33285,1.33316,1.3211,1.32375,6803,0,0,0,0,0
24-04-2012,1.33225,1.33254,1.329,1.33084,107648,0,0,0,0,0
25-04-2012,1.33083,1.33972,1.32716,1.33133,119451,0,0,0,0,0
26-04-2012,1.33132,1.34408,1.32844,1.33216,116347,0,0,0,0,0
27-04-2012,1.33217,1.35314,1.3258,1.34411,93625,0,0,0,0,0
29-04-2012,1.3441,1.35197,1.3416,1.34641,77625,0,0,0,0,0
30-04-2012,1.34638,1.35469,1.33619,1.33906,4492,0,0,0,0,0
01-05-2012,1.34205,1.34234,1.33953,1.34156,82599,0,0,0,0,0
02-05-2012,1.34157,1.34847,1.33738,1.33852,86204,0,0,0,0,0
03-05-2012,1.33853,1.34261,1.33321,1.34081,80082,0,0,0,0,0
04-05-2012,1.34082,1.3452,1.33498,1.3398,84734,0,0,0,0,0
06-05-2012,1.33982,1.34579,1.32877,1.33443,82920,0,0,0,0,0
07-05-2012,1.33444,1.34321,1.32803,1.33831,2910,0,0,0,0,0
08-05-2012,1.33806,1.33807,1.33583,1.33691,83562,0,0,0,0,0
09-05-2012,1.33692,1.33757,1.31597,1.31633,94535,0,0,0,0,0
10-05-2012,1.31631,1.32352,1.30076,1.30174,93314,0,0,0,0,0
11-05-2012,1.30173,1.3063,1.29444,1.29834,85635,0,0,0,0,0
13-05-2012,1.29832,1.30483,1.2956,1.30277,69823,0,0,0,0,0
14-05-2012,1.30275,1.30827,1.29939,1.3042,2527,0,0,0,0,0
15-05-2012,1.30415,1.30428,1.30299,1.30346,70543,0,0,0,0,0
16-05-2012,1.30344,1.30417,1.29817,1.30049,70212,0,0,0,0,0
17-05-2012,1.30048,1.31302,1.29939,1.3085,81156,0,0,0,0,0
18-05-2012,1.30849,1.31956,1.30239,1.30348,62796,0,0,0,0,0
20-05-2012,1.30351,1.31178,1.30159,1.30531,41261,0,0,0,0,0
21-05-2012,1.30533,1.30944,1.30248,1.30421,2898,0,0,0,0,0
22-05-2012,1.30567,1.3061,1.3042,1.30465,37067,0,0,0,0,0
23-05-2012,1.30466,1.30818,1.30417,1.30666,53824,0,0,0,0,0
24-05-2012,1.30668,1.30787,1.29107,1.29234,65763,0,0,0,0,0
25-05-2012,1.29235,1.29641,1.28569,1.2951,55041,0,0,0,0,0
27-05-2012,1.29509,1.29972,1.29029,1.29585,1054,0,0,0,0,0
28-05-2012,1.29395,1.29519,1.29364,1.29447,22649,0,0,0,0,0
29-05-2012,1.29446,1.29687,1.29163,1.29356,71633,0,0,0,0,0
30-05-2012,1.29357,1.30753,1.29341,1.30527,74612,0,0,0,0,0
31-05-2012,1.30526,1.30714,1.28965,1.29295,86935,0,0,0,0,0
01-06-2012,1.29294,1.29422,1.27695,1.27903,68720,0,0,0,0,0
03-06-2012,1.27904,1.28111,1.26962,1.27161,4396,0,0,0,0,0
04-06-2012,1.26937,1.27047,1.26652,1.26776,71250,0,0,0,0,0
05-06-2012,1.26777,1.27839,1.26761,1.27711,72679,0,0,0,0,0
06-06-2012,1.27713,1.28168,1.27414,1.2752,78866,0,0,0,0,0
07-06-2012,1.27519,1.27883,1.26605,1.27203,77066,0,0,0,0,0
08-06-2012,1.27204,1.28434,1.2698,1.28191,84959,0,0,0,0,0
10-06-2012,1.2819,1.28768,1.26228,1.26787,3637,0,0,0,0,0
11-06-2012,1.26343,1.26544,1.26342,1.26463,60408,0,0,0,0,0
12-06-2012,1.26464,1.26862,1.26247,1.26649,81174,0,0,0,0,0
13-06-2012,1.26648,1.28071,1.26634,1.2745,86595,0,0,0,0,0
14-06-2012,1.27451,1.28667,1.27337,1.28626,84194,0,0,0,0,0
15-06-2012,1.28625,1.29707,1.28379,1.29598,67898,0,0,0,0,0
17-06-2012,1.29597,1.29847,1.2886,1.29306,3016,0,0,0,0,0
18-06-2012,1.28801,1.28947,1.28748,1.28861,75431,0,0,0,0,0
19-06-2012,1.28862,1.30512,1.28815,1.30233,76994,0,0,0,0,0
20-06-2012,1.30234,1.30614,1.29523,1.30337,83133,0,0,0,0,0
21-06-2012,1.30338,1.31192,1.29297,1.31048,72030,0,0,0,0,0
22-06-2012,1.31047,1.31826,1.3087,1.3087,77554,0,0,0,0,0
24-06-2012,1.30868,1.32324,1.30764,1.32173,2564,0,0,0,0,0
25-06-2012,1.32275,1.32275,1.32042,1.32055,67429,0,0,0,0,0
26-06-2012,1.32056,1.32091,1.30755,1.31369,81334,0,0,0,0,0
27-06-2012,1.31371,1.32121,1.30405,1.30744,79984,0,0,0,0,0
28-06-2012,1.30747,1.32166,1.30248,1.31683,76384,0,0,0,0,0
29-06-2012,1.31682,1.31952,1.30842,1.31346,74557,0,0,0,0,0
01-07-2012,1.31347,1.32044,1.30655,1.31573,3989,0,0,0,0,0
02-07-2012,1.31139,1.31297,1.31108,1.31238,74049,0,0,0,0,0
03-07-2012,1.3124,1.31401,1.30265,1.31164,83519,0,0,0,0,0
04-07-2012,1.31163,1.32685,1.30879,1.3247,77958,0,0,0,0,0
05-07-2012,1.32469,1.32871,1.3214,1.32461,77663,0,0,0,0,0
06-07-2012,1.32462,1.33194,1.32253,1.32738,67748,0,0,0,0,0
08-07-2012,1.32737,1.32894,1.3154,1.31961,6788,0,0,0,0,0
09-07-2012,1.32104,1.32592,1.32009,1.3239,57647,0,0,0,0,0
10-07-2012,1.32391,1.32826,1.3144,1.3153,78577,0,0,0,0,0
11-07-2012,1.31529,1.32144,1.30787,1.31275,88276,0,0,0,0,0
12-07-2012,1.31276,1.31892,1.30428,1.30539,86341,0,0,0,0,0
13-07-2012,1.3054,1.31572,1.29732,1.31255,65255,0,0,0,0,0
15-07-2012,1.31254,1.31961,1.3114,1.31433,7484,0,0,0,0,0
16-07-2012,1.31795,1.32358,1.31722,1.32221,57987,0,0,0,0,0
17-07-2012,1.32222,1.32753,1.31809,1.32066,85560,0,0,0,0,0
18-07-2012,1.32073,1.32915,1.31855,1.3248,71934,0,0,0,0,0
19-07-2012,1.32479,1.32651,1.32101,1.32542,70101,0,0,0,0,0
20-07-2012,1.32541,1.3377,1.32302,1.33723,63739,0,0,0,0,0
