date,time,open,high,low,close,volume
2019-01-17,10:00:00,60.558,60.787,60.55,60.765,1098
2019-01-17,10:15:00,60.762,60.86,60.745,60.755,677
2019-01-17,10:30:00,60.75,60.79,60.526,60.526,831
2019-01-17,10:45:00,60.523,60.645,60.521,60.62,872
2019-01-17,11:00:00,60.623,60.705,60.511,60.69,807
2019-01-17,11:15:00,60.686,60.703,60.501,60.531,703
2019-01-17,11:30:00,60.528,60.536,60.391,60.466,928
2019-01-17,11:45:00,60.461,60.521,60.361,60.396,888
2019-01-17,12:00:00,60.391,60.466,60.342,60.431,764
2019-01-17,12:15:00,60.427,60.427,60.052,60.077,1601
2019-01-17,12:30:00,60.08,60.262,60.08,60.197,1133
2019-01-17,12:45:00,60.2,60.272,60.078,60.122,1001
2019-01-17,13:00:00,60.118,60.152,59.893,60.133,1956
2019-01-17,13:15:00,60.128,60.255,59.976,60.232,1511
2019-01-17,13:30:00,60.228,60.305,60.153,60.232,1659
2019-01-17,13:45:00,60.235,60.427,60.188,60.332,1659
2019-01-17,14:00:00,60.335,60.432,60.248,60.372,2188
2019-01-17,14:15:00,60.368,60.587,60.352,60.502,1564
2019-01-17,14:30:00,60.507,60.739,60.457,60.582,2384
2019-01-17,14:45:00,60.578,60.777,60.542,60.697,1872
2019-01-17,15:00:00,60.701,60.704,60.233,60.403,3209
2019-01-17,15:15:00,60.398,60.677,60.343,60.622,2633
2019-01-17,15:30:00,60.617,60.732,60.172,60.273,3585
2019-01-17,15:45:00,60.268,60.425,60.208,60.273,2584
2019-01-17,16:00:00,60.276,60.663,60.099,60.623,4553
2019-01-17,16:15:00,60.628,60.767,60.538,60.643,3827
2019-01-17,16:30:00,60.649,60.822,60.576,60.663,2490
2019-01-17,16:45:00,60.668,60.753,60.558,60.733,1642
2019-01-17,17:00:00,60.735,61.042,60.71,60.972,1970
2019-01-17,17:15:00,60.975,61.032,60.815,60.838,1732
2019-01-17,17:30:00,60.842,61.097,60.813,60.928,2010
2019-01-17,17:45:00,60.933,60.96,60.721,60.748,1623
2019-01-17,18:00:00,60.753,61.008,60.748,60.988,1486
2019-01-17,18:15:00,60.993,61.195,60.988,61.107,1909
2019-01-17,18:30:00,61.11,61.152,60.973,61.003,1405
2019-01-17,18:45:00,61.0,61.103,60.976,61.073,1400
2019-01-17,19:00:00,61.07,61.202,61.023,61.078,1546
2019-01-17,19:15:00,61.083,61.203,60.978,60.993,3139
2019-01-17,19:30:00,60.998,61.342,60.943,61.325,1938
2019-01-17,19:45:00,61.327,61.395,61.076,61.198,1899
2019-01-17,20:00:00,61.202,61.22,61.096,61.148,672
2019-01-17,20:15:00,61.143,61.243,61.143,61.228,172
2019-01-17,20:30:00,61.233,61.243,61.084,61.093,457
2019-01-17,20:45:00,61.096,61.156,61.064,61.069,389
2019-01-17,21:00:00,61.069,61.103,61.044,61.069,197
2019-01-17,21:15:00,61.064,61.099,61.064,61.084,111
2019-01-17,21:30:00,61.086,61.124,61.024,61.069,151
2019-01-17,21:45:00,61.079,61.124,61.029,61.044,99
2019-01-17,22:00:00,61.037,61.059,61.034,61.049,11
2019-01-17,22:15:00,61.054,61.084,61.054,61.069,10
2019-01-17,22:30:00,61.074,61.094,61.039,61.039,19
2019-01-17,22:45:00,61.045,61.054,60.985,61.024,26
2019-01-18,01:00:00,61.34,61.487,61.327,61.439,978
2019-01-18,01:15:00,61.442,61.602,61.4,61.524,805
2019-01-18,01:30:00,61.52,61.599,61.42,61.579,617
2019-01-18,01:45:00,61.582,61.614,61.525,61.579,435
2019-01-18,02:00:00,61.574,61.682,61.56,61.56,636
2019-01-18,02:15:00,61.565,61.61,61.51,61.57,456
2019-01-18,02:30:00,61.567,61.567,61.52,61.52,383
2019-01-18,02:45:00,61.524,61.53,61.41,61.525,352
2019-01-18,03:00:00,61.52,61.577,61.51,61.555,212
2019-01-18,03:15:00,61.551,61.612,61.535,61.58,240
2019-01-18,03:30:00,61.585,61.615,61.56,61.585,309
2019-01-18,03:45:00,61.58,61.59,61.56,61.56,106
2019-01-18,04:00:00,61.556,61.556,61.496,61.531,163
2019-01-18,04:15:00,61.528,61.561,61.511,61.551,102
2019-01-18,04:30:00,61.556,61.621,61.551,61.611,164
2019-01-18,04:45:00,61.608,61.611,61.581,61.601,77
2019-01-18,05:00:00,61.603,61.686,61.601,61.661,176
2019-01-18,05:15:00,61.658,61.661,61.621,61.641,154
2019-01-18,05:30:00,61.638,61.653,61.611,61.646,216
2019-01-18,05:45:00,61.641,61.771,61.631,61.711,487
2019-01-18,06:00:00,61.716,61.801,61.696,61.786,424
2019-01-18,06:15:00,61.791,61.791,61.704,61.771,165
2019-01-18,06:30:00,61.776,61.846,61.726,61.751,504
2019-01-18,06:45:00,61.756,61.826,61.706,61.756,361
2019-01-18,07:00:00,61.761,61.771,61.627,61.627,616
2019-01-18,07:15:00,61.632,61.657,61.547,61.612,456
2019-01-18,07:30:00,61.617,61.707,61.597,61.692,404
2019-01-18,07:45:00,61.689,61.737,61.452,61.497,632
2019-01-18,08:00:00,61.502,61.652,61.462,61.562,1041
2019-01-18,08:15:00,61.565,61.672,61.35,61.368,1987
